patent_use_code,definition
U-748,A METHOD FOR THE TREATMENT OF A PROTEIN TYROSINE KINASE-ASSOCIATED DISORDER
U-749,METHOD OF CONTRACEPTION
U-75,RELIEF OF OCULAR ITCHING DUE TO SEASONAL ALLERGIC CONJUNCTIVITIS
U-750,TREATMENT OF HIV-1 INFECTION IN ADULTS
U-751,ONCE DAILY DOSING OF BUDESONIDE VIA NEBULIZER FOR THE TREATMENT OF ASTHMA
U-752,SUNSCREEN
U-753,AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES
U-754,USE FOR THE LONG-TERM MAINTENANCE TREATMENT OF ASTHMA
U-755,"TREATMENT OF ANOREXIA, CACHEXIA, OR AN UNEXPLAINED, SIGNIFICANT WEIGHT LOSS IN PATIENTS WITH A DIAGNOSIS OF ACQUIRED IMMUNODEFICIENCY SYNDROME (AIDS)"
U-756,ADDITION OF ONCE-WEEKLY DOSING FOR THE TREATMENT TO INCREASE BONE MASS IN MEN WITH OSTEOPOROSIS
U-757,USE AS A BILE ACID SEQUESTRANT FOR LOWERING CHOLESTEROL
U-758,TREATMENT OF SYMPTOMS OF PREMENSTRUAL DYSPHORIC DISORDER
U-759,METHOD OF USE OF ADMINISTERING LEVOTHYROXINE
U-76,USE TO IMAGE A SUBJECT WITH A MAGNETIC RESONANCE IMAGING SYSTEM
U-760,PROPHYLAXIS OF INVASIVE ASPERGILLUS AND CANDIDA INFECTIONS AND TREATMENT OF OROPHARYNGEAL CANDIDIASIS
U-761,TREATMENT OF SCHIZOPHRENIA INCLUDING MAINTAINING STABILITY IN PATIENTS WITH SCHIZOPHRENIA
U-762,TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE
U-763,ADMINISTRATION OF ARIPIPRAZOLE BY INJECTION
U-764,TREATMENT OF SCHIZOPHRENIA
U-765,METHOD OF TREATING ALLERGIC CONJUNCTIVITIS
U-766,TREATMENT OF SEIZURES
U-767,MANAGEMENT OF BREAKTHROUGH PAIN IN PATIENTS WITH CANCER
U-768,A METHOD OF REDUCING THE CAPACITY OF EXTENDED RELEASE NICOTINIC ACID TO PROVOKE A FLUSHING REACTION BY PRETREATING AN INDIVIDUAL WITH A FLUSH INHIBITING AGENT PRIOR TO THE ADMINISTRATION OF THE EXTENDED RELEASE NICOTINIC ACID
U-769,REVLIMID (LENALIDOMIDE) IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF MULTIPLE MYELOMA PATIENTS WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY
U-77,TREATMENT OF SYMPTOMS OF SEASONAL ALLERGIC RHINITIS
U-770,LONG-TERM TREATMENT OF PATHOLOGICAL HYPERSECRETORY CONDITIONS
U-771,"METHOD FOR THE TREATMENT OF DIABETES MELLITUS, SUCH AS TYPE 1 DIABETES MELLITUS OR TYPE 2 DIABETES MELLITUS, IN A HUMAN PATIENT"
U-772,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS IN CHILDREN 2 TO 11 YEARS AND FOR THE RELIEF OF SYMPTOMS ASSOCIATED WITH UNCOMPLICATED SKIN MANIFESTATIONS OF CHRONIC IDIOPATHIC URTICARIA IN CHILDREN 6 MONTHS TO 11 YEARS
U-773,PATHOLOGICAL HYPERSECRETORY CONDITIONS
U-774,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR
U-775,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR IN COMBINATION WITH METFORMIN AND/OR A SULFONYLUREA
U-776,"TREATMENT OF CUTANEOUS MANIFESTATION IN PATIENTS WITH CUTANEOUS T-CELL LYMPHOMA (CTCL) WHO HAVE PROGRESSIVE, PERSISTENT OR RECURRENT DISEASE ON OR FOLLOWING TWO SYSTEMIC THERAPIES."
U-777,DECREASING MORTALITY CAUSED BY CONGESTIVE HEART FAILURE
U-778,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN ANGLE GLAUCOMA OR OCULAR HYPERTENSION
U-779,"A METHOD FOR TREATMENT OF A CANCER, WHEREIN THE CANCER IS CHRONIC MYELOGENOUS LEUKEMIA"
U-78,ULCERATIVE COLITIS
U-780,A METHOD FOR THE TREATMENT OF CANCER
U-781,FOR TREATMENT OF ADULT PATIENTS WITH TYPE 2 DIABETES MELLITUS WHO ARE NAIVE TO PHARMACOLOGIC THERAPY
U-782,TREATMENT OF CHRONIC HEPATITIS B IN ADULT PATIENTS WITH EVIDENCE OF VIRAL REPLICATION AND EITHER EVIDENCE OF PERSISTANT ELEVATIONS IN SERUM AMINOTRANSFERASES (ALT OR AST) OR HISTOLOGICALLY ACTIVE DISEASE
U-783,DESONATE GEL IS INDICATED FOR THE TREATMENT OF MILD TO MODERATE ATOPIC DERMATITIS IN PATIENTS 3 MONTHS OF AGE AND OLDER
U-784,TREATMENT OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS)
U-785,"USE AS REPLACEMENT SOLUTION, HEMOFILTRATION SOLUTION OR HEMODIAFILTRATION SOLUTION IN CONTINUOUS RENAL REPLACEMENT THERAPY"
U-786,PRODUCT IS APPROVED FOR THE TOPICAL TREATMENT OF TINEA PEDIS
U-787,"MAINTENANCE TREATMENT OF ASTHMA AS PROPHYLACTIC THERAPY IN ADULT AND PEDIATRIC PATIENTS SIX YEARS OF AGE OR OLDER, INCLUDING PATIENTS REQUIRING ORAL CORTICOSTEROID THERAPY FOR ASTHMA"
U-788,METHOD OF TREATING PSYCHIATRIC SYMPTOMS ASSOCIATED WITH PREMENSTRUAL DISORDERS USING PAROXETINE
U-789,TREATMENT OF KNOWN OR SUSPECTED CYANIDE POISONING
U-79,SYMPTOMATIC TREATMENT OF PATIENTS WITH NOCTURNAL HEARTBURN DUE TO GERD
U-790,FORTEO IS INDICATED FOR THE TREATMENT OF POST MENOPAUSAL WOMEN WITH OSTEOPOROSIS WHO ARE AT RISK FOR FRACTURE. FORTEO CAN BE USED BY PEOPLE WHO HAVE HAD A FRACTURE RELATED TO OSTEOPOROSIS
U-791,GLEEVEC IS ALSO INDICATED FOR THE TREATMENT OF PATIENTS WITH KIT (CD117) POSITIVE UNRESECTABLE AND/OR METASTATIC MALIGNANT GASTROINTESTINAL STROMAL TUMORS (GIST)
U-792,TREATMENT OF SEBORRHEA DERMATITIS IN HUMANS
U-793,"FOR THE LONG TERM TREATMENT, TWICE DAILY (MORNING AND EVENING) MAINTENANCE TREATMENT OF BRONCHOCONSTRICTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND EMPHYSEMA"
U-794,"CLOSURE OF A CLINICALLY SIGNIFICANT PATENT DUCTUS ARTERIOSUS IN PREMATURE INFANTS WEIGHING BETWEEN 500 AND 1500G, WHO ARE NO MORE THAN 32 WEEKS GESTATIONAL AGE WHEN USUAL MEDICAL MANAGEMENT IS INEFFECTIVE"
U-795,METHOD FOR INHIBITING NOREPINEPHRINE UPTAKE
U-796,METHOD OF TREATING DEPRESSION
U-797,METHOD OF TREATING ANXIETY
U-798,TREATMENT AND PREVENTION OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN BY ONCE-MONTHLY ORAL ADMINISTRATION OF IBANDRONATE SODIUM MONOHYDRATE EQUIVALENT TO 150MG OF IBANDRONIC ACID
U-799,METHOD FOR INHIBITING SEROTONIN UPTAKE
U-8,ACUTE MYOCARDIAL INFARCTION
U-80,METHOD OF TREATING OCULAR BACTERIAL INFECTIONS
U-800,"TREATMENT OF PATIENTS WITH ADVANCED OR METASTATIC BREAST CANCER WHOSE TUMORS OVEREXPRESS HER2 AND WHO HAVE RECEIVED PRIOR THERAPY INCLUDING ANTHRACYCLINE, A TAXANE AND TRASTUZUMAB"
U-801,METHOD OF TREATING CANCER
U-802,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR
U-803,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR IN COMBINATION WITH METFORMIN
U-804,TREATMENT OF ACTINIC KERATOSES BY PHOTODYNAMIC THERAPY
U-805,TREATMENT OF IMPETIGO DUE TO STAPHYLOCOCCUS AUREUS OR STREPTOCOCCUS PYOGENES
U-806,INTRATHECAL TREATMENT OF LYMPHOMATOUS MENINGITIS
U-807,PREVENTION OF EXERCISE-INDUCED BRONCHOCONSTRICTION
U-808,THE TREATMENT OF THE SYMPTOMS OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS IN PATIENTS 2 YEARS OF AGE AND OLDER
U-809,TREATMENT OF CHRONIC IDIOPATHIC URTICARIA
U-81,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS
U-810,METHOD OF TREATMENT TO ALLEVIATE INFLAMMATION OF THE EYE
U-811,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL AND PERENNIAL ALLERGIC RHINITIS AND TREATMENT OF THE UNCOMPLICATED SKIN MANIFESTATIONS OF CHRONIC IDIOPATHIC URTICARIA
U-812,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL AND PERENNIAL ALLERGIC RHINITIS
U-813,MAINTENANCE TREATMENT OF BRONCHOCONSTRICTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-814,TREATMENT OF SCHIZOPHRENIA
U-815,"TREATS COLD SORES/FEVER BLISTERS ON THE FACE OR LIPS. SHORTENS HEALING TIME AND DURATION OF SYMPTOMS: TINGLING, PAIN, BURNING AND/OR ITCHING"
U-816,"DEPRESSION, PANIC DISORDER, PREMENSTRUAL DISORDERS AND SOCIAL ANXIETY DISORDER"
U-817,NASAL ADMINISTRATION OF CYANOCOBALAMIN
U-818,TOPICAL TREATMENT OF ACNE VULGARIS
U-819,MANAGEMENT OF FIBROMYALGIA
U-82,TREATMENT FOR DEMENTIA IN PATIENTS WITH ALZHEIMER'S DISEASE
U-820,"IMPROVED WAKEFULNESS IN PATIENTS WITH EXCESSIVE SLEEPINESS ASSOCIATED WITH NARCOLEPSY, OBSTRUCTIVE SLEEP APNEA/HYPOPNEA SYNDROME, AND SHIFT WORK SLEEP DISORDER"
U-821,METHOD OF INHIBITING ENTHOTHELIN RECEPTORS BY ADMINISTERING AMBRISENTAN TO A PATIENT TO TREAT PULMONARY ARTERIAL HYPERTENSION.
U-822,USE IN LIPID MANAGEMENT
U-823,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS AND FOR THE TREATMENT OF UNCOMPLICATED SKIN MANIFESTATIONS OF CHRONIC IDIOPATHIC URTICARIA IN CHILDREN 6 TO 11 YEARS OF AGE
U-824,METHOD OF TREATING PATIENTS INFECTED WITH CCR5-TROPIC HIV-1
U-825,USE FOR PREVENTION OF BREAST CANCER
U-826,RELIEF OF MODERATE TO SEVERE PAIN
U-827,"USE FOR TREATMENT OF DIABETES, PARTICULARLY TYPE 2 DIABETES"
U-828,PREVENTION OF PREGNANCY IN WOMEN WHO ELECT TO USE ORAL CONTRACEPTIVES AS A METHOD OF CONTRACEPTION
U-829,TREATMENT OF EXTRAVASATION RESULTING FROM IV ANTHRACYCLINE CHEMOTHERAPY
U-83,TREATMENT OF SEIZURES
U-830,TREATMENT OF RELAPSED SMALL CELL LUNG CANCER
U-831,METHOD OF ADMINISTERING LANREOTIDE ACETATE
U-832,ZINGO IS INDICATED FOR THE USE ON INTACT SKIN TO PROVIDE LOCAL ANALGESIA PRIOR TO VENIPUNCTURE OR INTRAVENOUS CANNULATION.
U-833,METHOD OF TREATING PAIN USING A PHARMACEUTICALLY ACCEPTABLE SALT OF ROPIVACAINE AND ADMINISTERING A COMPOSITION CONTAINING LESS THAN 0.25% BY WEIGHT OF ROPIVACAINE
U-834,INVIRASE IN COMBINATION WITH RITONAVIR AND OTHER ANTIRETROVIRAL AGENTS IS INDICATED FOR THE TREATMENT OF HIV INFECTION
U-835,RELIEF OF THE INFLAMMATORY AND PRURITIC MANIFESTATIONS OF ATOPIC DERMATITIS IN PATIENTS ONE YEAR OF AGE OR OLDER
U-836,A METHOD FOR THE TREATMENT OF LEUKEMIAS
U-837,GASTROINTESTINAL LAVAGE INDICATED FOR CLEANSING OF THE COLON AS A PREPARATION FOR COLONOSCOPY IN ADULTS
U-838,METHOD OF TREATING PAIN USING A PHARMACEUTICALLY ACCEPTABLE SALT OF ROPIVACAINE AND ADMINISTERING A COMPOSITION CONTAINING LESS THAN 0.5% BY WEIGHT OF ROPIVACAINE
U-839,TREATMENT OF MAJOR DEPRESSIVE DISORDER (MDD)
U-84,A METHOD OF BLOCKING THE UPTAKE OF MONOAMINES BY BRAIN NEURONS IN ANIMALS
U-840,TREATMENT FOR TYPE 2 DIABETES MELLITUS
U-841,"INDICATED FOR THE LONG-TERM, MAINTENANCE TREATMENT OF ASTHMA IN PATIENTS 12 YEARS OF AGE AND OLDER"
U-842,INDICATED FOR THE TREATMENT OF ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD)
U-843,METHOD FOR ADMINISTRATION OF TESTOSTERONE
U-844,PREFEST IS INDICATED IN WOMEN WHO HAVE A UTERUS FOR THE TREATMENT OF MODERATE TO SEVERE VASOMOTOR SYMPTOMS ASSOCIATED WITH MENOPAUSE; TREATMENT OF VULVAR AND VAGINAL ATROPHY; PREVENTION OF OSTEOPOROSIS
U-845,"TREATMENT OF PATIENTS WITH CANDIDEMIA, ACUTE DISSEMINATED CANDIDIASIS, CANDIDA PERITONITIS AND ABSCESSES"
U-846,USE FOR DELINEATION (VISUALIZATION) DURING A VITRECTOMY SURGICAL PROCEDURE
U-847,"ADJUNCTIVE THERAPY TO DIET IN ADULTS TO REDUCE LDL-C, TRIGLYCERIDES AND APO B, AND INCREASE HDL-C IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA OR MIXED DYSLIPIDEMIA (TYPES IIA, IIB) AND TO TREAT HYPERTRIGLYCERIDEMIA (TYPES IV, V)"
U-848,ACUTE TREATMENT OF MIGRAINE WITH OR WITHOUT AURA
U-849,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE (IOP) IN PATIENTS WITH GLAUCOMA OR OCULAR HYPERTENSION WHO REQUIRE ADJUNCTIVE OR REPLACEMENT THERAPY DUE TO INADEQUATELY CONTROLLED IOP. DOSE IS ONE DROP OF COMBIGAN IN THE AFFECTED EYE TWICE DAILY
U-85,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS
U-850,PREVENTION OR TREATMENT OF NAUSEA OR EMESIS INDUCED BY A CANCER CHEMOTHERAPEUTIC AGENT
U-851,TREATMENT OF TYPE 2 DIABETES MELLITUS
U-852,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL AND PERENNIAL ALLERGIC RHINITIS
U-853,TREATMENT OR PREVENTION OF EMESIS
U-854,"PREVENTION OF CMV DISEASE IN KIDNEY, HEART, AND KIDNEY-PANCREAS TRANSPLANT PATIENTS AT HIGH RISK (DONOR CMV SEROPOSITIVE/RECIPIENT CMV SERONEGATIVE)"
U-855,"METHOD TO INDUCE NATRIURESIS, DIURESIS AND/OR VASODILATION"
U-856,SUPPORT EMBRYO IMPLANTATION AND EARLY PREGNANCY BY SUPPLEMENTATION OF CORPUS LUTEAL FUNCTION AS PART OF AN ASSISTED REPRODUCTIVE TECHNOLOGY (ART) TREATMENT PROGRAM FOR INFERTILE WOMEN
U-857,INHIBITION OF TRANSPLANT REJECTION
U-858,"PEDIATRIC USE AGED 1-11 YEARS, GERD AND EROSIVE ESOPHAGITIS"
U-859,"EROSIVE ESOPHAGITIS, HYPERSECRETORY CONDITIONS INCLUDING ZOLLINGER-ELLISON SYNDROME, MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS AND REDUCTION OF SYMPTOMS IN PATIENTS WITH GERD"
U-86,METHOD OF TREATING CERTAIN FORMS OF EPILEPSY
U-860,"FOR THE APPROVED USES AND CONDITIONS OF USE, INCLUDING DEPRESSION"
U-861,RELIEF OF THE INFLAMMATORY AND PRURITIC MANIFESTATIONS OF CORTICOSTEROID RESPONSIVE DERMATOSES IN PATIENTS 12 YEARS OF AGE OR OLDER
U-862,"ADJUNCT TO DIET TO REDUCE ELEVATED TOTAL-C, LDL-C, NON-HDL-C, APO B, TG, AND LP(A) LEVELS AND TO INCREASE HDL-C IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA, MIXED DYSLIPIDEMIA, AND HYPERTRIGLYCERIDEMIA"
U-863,"TAKING ASPIRIN OR NON-STEROIDAL ANTI-INFLAMMATORY MEDICATIONS APPROXIMATELY 30 MINUTES BEFORE DOSING CAN MINIMIZE FLUSHING, A COMMON SIDE EFFECT OF NIACIN THERAPY"
U-864,"PEDIATRIC USE AGES 1-2 YEARS, GERD AND EROSIVE ESOPHAGITIS"
U-865,TREATMENT OF A WOMAN WITH OSTEOPOROSIS AND A HIGH RISK FOR BONE FRACTURE BY REDUCING THE RISK OF VERTEBRAL AND NONVERTEBRAL BONE FRACTURE
U-866,THE LABEL REFERENCES THE EFFECTS OF THE ACTIVE INGREDIENT OF REVLIMID UPON CYTOKINES
U-867,TREATMENT OF MIGRAINE
U-868,METHOD OF USING ANTAGONIST OF ARGININE VASOPRESSIN (AVA) V1A AND V2 RECEPTORS FOR INTRAVENOUS TREATMENT OF PATIENTS WITH HYPERVOLEMIC HYPONATREMIA
U-869,METHOD FOR STIMULATING CORONARY VASODILATION FOR PURPOSES OF IMAGING THE HEART
U-87,"METHOD FOR NONINVASIVE ADMINISTRATION OF SEDATIVES, ANALGESICS, AND ANESTHETICS"
U-870,METHOD OF PRODUCING CORONARY VASODILATION WITHOUT PERIPHERAL VASODILATION
U-871,"METHOD OF REDUCING RISK OF MYOCARDIAL INFARCTION, STROKE AND DEATH"
U-872,"TWICE DAILY MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND EMPHYSEMA. TO REDUCE EXACERBATIONS OF COPD IN PATIENTS WITH A HISTORY OF EXACERBATIONS"
U-873,METHOD OF TREATING CONSTIPATION IN A PATIENT WITH IRRITABLE BOWEL SYNDROME BY OPENING CHLORIDE CHANNELS (CIC)
U-874,METHOD OF TREATING CONSTIPATION IN A PATIENT WITH IRRITABLE BOWEL SYNDROME
U-875,"FIRST-LINE TREATMENT OF LOCALLY ADVANCED UNRESECTABLE OR METASTATIC PANCREATIC CANCER, IN COMBINATION WITH GEMCITABINE"
U-876,TREATMENT OF MIGRAINE WITH OR WITHOUT AURA
U-877,FOR USE AS ADJUNCTIVE THERAPY IN THE TREATMENT OF PEPTIC ULCER
U-878,A METHOD FOR BINDING A PERIPHERAL OPIOID RECEPTOR
U-879,A METHOD OF TREATING OR PREVENTING ILEUS
U-88,TREATMENT OF MODERATE PLAQUE PSORIASIS
U-880,ENDOMETRIN IS A PROGESTERONE INDICATED TO SUPPORT EMBRYO IMPLANTATION AND EARLY PREGNANCY BY SUPPLEMENTATION OF CORPUS LUTEAL FUNCTION AS PART OF AN ASSISTED REPRODUCTIVE TECHNOLOGY (ART) TREATMENT PROGRAM FOR INFERTILE WOMEN
U-881,TREATMENT OF NON-SMALL CELL LUNG CANCER
U-882,MANAGEMENT OF FIBROMYALGIA (FM)
U-883,TREATMENT OF GASTROINTESTINAL STROMAL TUMOR WITH SUNITINIB
U-884,TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA
U-885,TREATMENT OF PATIENTS WITH MANTLE CELL LYMPHOMA WHO HAVE RECEIVED AT LEAST 1 PRIOR THERAPY
U-886,"ADMINISTERING DESLORATADINE TO TREAT THE SYMPTOMS OF PERENNIAL ALLERGIC RHINITIS, SEASONAL ALLERGIC RHINITIS, OR CHRONIC IDIOPATHIC URTICARIA"
U-887,TREATMENT AND PREVENTION OF OSTEOPOROSIS
U-888,FEMALE HORMONE REPLACEMENT THERAPY FOR POSTMENOPAUSAL WOMEN
U-889,MENOPAUSAL AND POSTMENOPAUSAL DISORDERS (INCLUDING VASOMOTOR SYMPTOMS ASSOCIATED WITH MENOPAUSE)
U-89,TREATMENT OR PROPHYLAXIS OF EMESIS
U-890,REDUCTION OF SERUM PHOSPHATE IN PATIENTS WITH END STAGE RENAL DISEASE
U-891,USE AS AN INTRAOCULAR IRRIGATING SOLUTION DURING SURGICAL PROCEDURES INVOLVING PERFUSION OF THE EYE
U-892,TREATMENT OF CUTANEOUS MANIFESTATIONS IN PATIENTS WTIH CUTANEOUS T-CELL LYMPHOMA (CTCL)
U-893,CLEVIPREX IS A DIHYDROPYRIDINE CALCIUM CHANNEL BLOCKER INDICATED FOR THE REDUCTION OF BLOOD PRESSURE WHEN ORAL THERAPY IS NOT FEASIBLE OR NOT DESIRABLE
U-894,TREATMENT OF COLD SORES IN PEDIATRIC PATIENTS TWELVE YEARS OF AGE AND OLDER
U-895,TREATMENT OF HIV INFECTION IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS
U-896,TREATMENT OF NASAL SYMPTOMS OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS IN ADULTS AND CHILDREN TWO YEARS OF AGE AND OLDER
U-897,METHOD OF TREATING TONSILLITIS AND/OR PHARYNGITIS SECONDARY TO STREPTOCOCCUS PYOGENES IN A ONCE-A-DAY AMOXICILLIN PRODUCT
U-898,USE OF GLUTAMINE TOGETHER WITH GROWTH HORMONE FOR THE TREATMENT OF PATIENTS WITH SHORT BOWEL SYNDROME
U-899,USE OF THALIDOMIDE IN COMBINATION WITH DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA
U-9,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT
U-90,TREATMENT OF PSYCHOTIC DISORDERS
U-900,INTEGRASE INHIBITION FOR THE TREATMENT OF HIV INFECTION
U-901,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING
U-902,USE IN THE TREATMENT OF THE SIGNS AND SYMPTOMS OF BENIGN PROSTATIC HYPERPLASIA (BPH)
U-903,TREATMENT OF HUMAN IMMUNODEFICIENCY VIRUS (HIV) IN ADULT PATIENTS
U-904,TREATMENT OF MODERATE TO SEVERE VASOMOTOR SYMPTOMS ASSOCIATED WITH MENOPAUSE
U-905,"TREATMENT OF MODERATE TO SEVERE VAGINAL DRYNESS AND PAIN WITH INTERCOURSE, SYMPTOMS OF VULVAR AND VAGINAL ATROPHY, ASSOCIATED WITH MENOPAUSE"
U-906,"PROPHYLAXIS OF ORGAN REJECTION IN KIDNEY, LIVER AND HEART ALLOGENIC TRANSPLANTS; TREATMENT OF PATIENTS WITH SEVERE ACTIVE, RHEUMATOID ARTHRITIS; TREATMENT OF ADULT, NONIMMUNOCOMPROMISED PATIENTS WITH SEVERE, RECALCITRANT, PLAQUE PSORIASIS"
U-907,FOR THE MAINTENANCE OF REMISSION OF ULCERATIVE COLITIS IN SUBJECTS 18 YEARS OF AGE AND OLDER
U-908,PROPHYLAXIS OF ORGAN REJECTION IN PATIENTS RECEIVING ALLOGENEIC RENAL TRANSPLANTS
U-909,TREATMENT OF CYSTIC FIBROSIS PATIENTS WITH PSEUDOMONAS AERUGINOSA
U-91,ALTERNATIVE THERAPY TO TRIMETHOPRIM-SULFAMETHOXAZOLE FOR TREATMENT OF MODERATE-TO-SEVERE PNEUMOCYSTIS CARINII PNEUMONIA IN IMMUNOCOMPROMISED AND AIDS PATIENTS
U-910,TREATMENT OF METASTATIC CARCINOMA OF THE OVARY AFTER FAILURE OF INITIAL OR SUBSEQUENT CHEMOTHERAPY
U-911,"METHOD OF TREATING, AS ADJUNCTIVE THERAPY, PARTIAL-ONSET SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS AND OLDER WHEN ORAL TREATMENT IS TEMPORARILY NOT FEASIBLE"
U-912,SEDATION OF NON-INTUBATED PATIENTS PRIOR TO AND/OR DURING SURGICAL AND OTHER PROCEDURES
U-913,"TREATMENT OF OVERACTIVE BLADDER WITH SYMPTOMS OF URGE URINARY INCONTINENCE, URGENCY, AND FREQUENCY"
U-914,"METHOD OF TREATING, AS ADJUNCTIVE THERAPY, PARTIAL-ONSET SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS AND OLDER"
U-915,TREATMENT OF MUSCULOSKELETAL CONDITIONS
U-916,TOPICAL TREATMENT OF ACNE VULGARIS IN PATIENTS 12 YEARS OR OLDER
U-917,TREATMENT OF INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS
U-918,TO TREAT OR PREVENT INFECTIONS CAUSED BY SUSCEPTIBLE BACTERIA USING DELAYED-RELEASE TABLETS CONSISTING OF DOXYCYCLINE HYCLATE COATED PELLETS IN A TABLET
U-919,FOR THE TREATMENT OF DERMATITIS
U-92,TREATMENT OF DIABETIC NEPHROPATHY IN PATIENTS WITH TYPE I INSULIN DEPENDENT DIABETES MELLITUS AND RETINOPATY
U-920,STEROID-RESPONSIVE INFLAMMATORY OCULAR CONDITIONS FOR WHICH A CORTICOSTEROID IS INDICATED AND WHERE SUPERFICIAL BACTERIAL OCULAR INFECTION OR A RISK OF BACTERIAL OCULAR INFECTION EXISTS
U-921,TREATMENT OF ACNE VULGARIS
U-922,FOR THE TREATMENT OF FUNGAL INFECTIONS
U-923,METHOD OF TREATING OPHTHALMIC INFLAMMATION AND INFECTION
U-924,TREATMENT OF MILD TO MODERATE INFECTION CAUSED BY SUSCEPTIBLE STRAINS
U-925,TREATMENT OF ONLY INFLAMMATORY LESIONS (PAPULES AND PUSTULES) OF ROSACEA
U-926,"MGT SPECIFIC BACTERIAL INFECTIONS. TREATMENT PTS W/ COMMUNITY ACQUIRED PNEUMONIA OR BACTERIAL SINUSITIS DUE TO CONFIRMED, OR SUSPECTED B-LACTAMASE PRODUCING PATHOGENS & S. PNEUMONIAE WITH REDUCED SUSCEPTIBILITY TO PENICILLIN (MIC=2MC/ML)"
U-927,METHOD FOR INCREASING TEAR PRODUCTION
U-928,TREATMENT OF BACTERIAL INFECTIOUS DISEASE
U-929,TREATMENT OF OBSESSIVE COMPULSIVE DISORDER TREATABLE WITH AN SSRI
U-93,USE AS AN ANTIHISTAMINE/DECONGESTANT
U-930,TREATMENT OF IDIOPATHIC THROMBOCYTOPENIC PURPURA (ITP)
U-931,RELIEF OF MODERATE TO SEVERE ACUTE PAIN
U-932,"PYLERA CAPSULES, IN COMBINATION WITH OMEPRAZOLE ARE INDICATED FOR THE TREATMENT OF PATIENTS WITH HELICOBACTER PYLORI INFECTION AND DUODENAL ULCER DISEASE TO ERADICATE H. PYLORI"
U-933,FOR THE TREATMENT OF PATIENTS WITH HELICOBACTER PYLORI INFECTION AND DUODENAL ULCER DISEASE TO ERADICATE H. PYLORI. THE ERADICATION OF HELICOBACTER PYLORI HAS BEEN SHOWN TO REDUCE THE RISK OF DUODENAL ULCER RECURRENCE
U-934,IN COMBINATION WITH GRANULOCYTE-COLONY STIMULATING FACTOR (G-CSF) TO MOBILIZE HEMATOPOIETIC STEM CELL TO THE PERIPHERAL BLOOD FOR COLLECTION AND SUBSEQUENT AUTOLOGOUS TRANSPLANTATION WITH  NON-HODGKINS LYMPHOMA AND MULTIPLE MYELOMA
