authors,originalPublicationYear,originalTitle,title,languageCode
Shayla Black,2007,Wicked Ties,"Wicked Ties (Wicked Lovers, #1)",en-US
Jenny Nimmo,2007,"Charlie Bone and the Beast (The Children of the Red King, # 6)","Charlie Bone and the Beast (The Children of the Red King, #6)",en-US
Vi Keeland,2016,The Baller: A Down and Dirty Football Novel,The Baller: A Down and Dirty Football Novel,eng
Brian Staveley,2015,The Providence of Fire,"The Providence of Fire (Chronicle of the Unhewn Throne, #2)",eng
"Jean-Paul Sartre, Arlette Elkaïm-Sartre, Annie Cohen-Solal, Carol Macomber",1946,L'Existentialisme est un humanisme ,Existentialism Is a Humanism,en-GB
Gloria Steinem,2015,My Life on the Road,My Life on the Road,eng
Scott Belsky,2010,,Making Ideas Happen: Overcoming the Obstacles Between Vision and Reality,
Lauren Conrad,2010,Sugar and Spice,"Sweet Little Lies (L.A. Candy, #2)",en-US
Katy Evans,2013,,"Remy (Real, #3)",eng
Kristen Ashley,2011,,"Rock Chick Revenge (Rock Chick, #5)",eng
"Hans Christian Andersen, Rachel Isadora",1845,Den Lille Pige med Svovlstikkerne,The Little Match Girl,eng
Rory Stewart,2004,The Places In Between,The Places in Between,en-US
Nora Roberts,2015,Stars of Fortune,"Stars of Fortune (The Guardians Trilogy, #1)",eng
Justin Halpern,2012,,I Suck at Girls,
Agatha Christie,1959,Cat Among the Pigeons,"Cat Among the Pigeons (Hercule Poirot, #32)",eng
Edward Rutherfurd,2013,Paris,Paris,eng
Guy de Maupassant,1884,The Necklace and Other Short Stories,The Necklace and Other Short Stories,eng
Michael Connelly,1999,Void Moon,Void Moon,eng
Rudyard Kipling,1897,Captains Courageous,Captains Courageous,eng
John Sandford,1990,,"Shadow Prey (Lucas Davenport, #2)",eng
Anne Rice,1997,Violin,Violin,eng
Sharon Guskin,2016,The Forgetting Time,The Forgetting Time,eng
Rod Campbell,,,Dear Zoo: A Lift-the-Flap Book,
"Tsugumi Ohba, Takeshi Obata",2004,デスノート #3 (Desu Nōto) Gekisō (激走),"Death Note, Vol. 3: Hard Run (Death Note, #3)",eng
John Flanagan,2011,The Lost Stories,"The Lost Stories (Ranger's Apprentice, #11)",eng
Lee Child,2012,"Deep Down (Jack Reacher, #16.5)","Deep Down (Jack Reacher, #16.5)",en-US
Hannah Harrington,2011,Saving June,Saving June,eng
M.J. Arlidge,2014,Eeny Meeny,"Eeny Meeny (Helen Grace, #1)",eng
Anna Banks,2013,,"Of Triton (The Syrena Legacy, #2)",eng
Dean Koontz,2010,What the Night Knows,What the Night Knows,eng
Kitty French,2012,Knight & Play,"Knight & Play (Knight, #1)",eng
Anthony  Ryan,2015,Queen of Fire,"Queen of Fire (Raven's Shadow, #3)",eng
Stephen R. Donaldson,1979,The Wounded Land,"The Wounded Land (The Second Chronicles of Thomas Covenant, #1)",
William Styron,1990,Darkness Visible: A Memoir of Madness,Darkness Visible: A Memoir of Madness,
Vaddey Ratner,2012,In the Shadow of the Banyan,In the Shadow of the Banyan,
Jack Gantos,2011,,Dead End in Norvelt,eng
Jennifer Estep,2010,Spider's Bite,"Spider's Bite (Elemental Assassin, #1)",eng
Ralph Waldo Emerson,1844,Self-Reliance and Other Essays,Self-Reliance and Other Essays,en-US
J.G. Ballard,1973,Crash,Crash,en-CA
"Adele Faber, Elaine Mazlish, Kimberly Ann Coe",1979,How to Talk So Teens Will Listen and Listen So Teens Will Talk,How to Talk So Kids Will Listen & Listen So Kids Will Talk,en-US
"Joseph Stein, Jerry Bock, Sheldon Harnick",1964,Fiddler On the Roof: Based on Sholom Aleichem's Stories,Fiddler on the Roof,eng
Sylvia Day,2013,Afterburn,"Afterburn (Jax & Gia, #1)",eng
Sydney Taylor,1951,All-of-a-Kind Family,"All-of-a-Kind Family (All-of-a-Kind Family, #1)",eng
Daniel Suarez,2014,Influx,Influx,eng
Terry Brooks,2000,Ilse Witch ,"Ilse Witch (Voyage of the Jerle Shannara, #1)",en-US
Katharine Graham,1997,Personal History,Personal History,en-US
Jane Harper,2017,The Dry,"The Dry (Aaron Falk, #1)",eng
"Janet Evanovich, Charlotte Hughes",1981,Full House,Full House (Full #1),eng
"Kahlil Gibran, Anthony R. Ferris",1912,الأجنحة المتكسرة,The Broken Wings,eng
"Douglas Preston, Lincoln Child",2012,Two Graves,"Two Graves (Pendergast, #12)",
Robin Hobb,2013,Blood of Dragons,"Blood of Dragons (Rain Wild Chronicles, #4)",eng
Cornelius Ryan,1974,A Bridge Too Far,A Bridge Too Far,eng
Jerry Spinelli,2002,Loser,Loser,eng
Kate Mosse,2007,Sepulchre,"Sepulchre (Languedoc, #2)",en-GB
Richard Kadrey,2010,,"Kill the Dead (Sandman Slim, #2)",en-US
Rolf Potts,2002,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,eng
Laurell K. Hamilton,2012,Kiss the Dead,"Kiss the Dead (Anita Blake, Vampire Hunter #21)",eng
Ernest Hemingway,1985,The Garden of Eden,The Garden of Eden,en-US
Maya Banks,2008,"Sweet Surrender (Sweet Series, #1)","Sweet Surrender (Sweet, #1)",en-US
Stephen R. Donaldson,1982,The One Tree,"The One Tree (The Second Chronicles of Thomas Covenant, #2)",eng
Bill Watterson,1994,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,eng
J.C. Reed,2013,Surrender Your Love,"Surrender Your Love (Surrender Your Love, #1)",eng
Matthew Mather,2013,CyberStorm,CyberStorm,eng
Chuck Klosterman,2001,Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,en-US
Tad Williams,1993,To Green Angel Tower (Siege),"To Green Angel Tower, Part 1 (Memory, Sorrow, and Thorn, #3; Part 1)",en-US
"Nujood Ali, Delphine Minoui, Linda Coverdale",2009,"Moi Nojoud, 10 ans, divorcée","I Am Nujood, Age 10 and Divorced",eng
Anne Rice,1979,The Feast of All Saints,The Feast of All Saints,en-US
Joshua Ferris,2014,To rise again at a decent hour,To Rise Again at a Decent Hour,eng
David Auburn,2000,Proof: A Play,Proof,eng
"Robert A. Heinlein, Damon Knight",1967,The Past through Tomorrow,"The Past Through Tomorrow (Future History, #1-21)",eng
Robert A. Caro,2002,Master of the Senate,"Master of the Senate (The Years of Lyndon Johnson, #3)",eng
Dean Koontz,2015,Saint Odd,"Saint Odd (Odd Thomas, #7)",eng
Roald Dahl,1977,The Wonderful Story Of Henry Sugar And Six More,The Wonderful Story of Henry Sugar and Six More,eng
Charlaine Harris,1990,,"Real Murders (Aurora Teagarden, #1)",eng
Patricia Cornwell,2010,Port Mortuary,"Port Mortuary (Kay Scarpetta, #18)",en-US
Erich Maria Remarque,1945,Arc de Triomphe,Arch of Triumph: A Novel of a Man Without a Country,
"Dan Jurgens, Jerry Ordway, Louise Simonson, Roger Stern, Jon Bogdanove, Tom Grummett, Jackson Butch Guice, Brett Breeding, Rick Burchett, Doug Hazlewood, Dennis Janke, Denis Rodier",1993,The Death of Superman,The Death of Superman,en-US
Steven Hall,2007,The Raw Shark Texts,The Raw Shark Texts,en-US
Rick Riordan,2016,The Hammer of Thor,"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",eng
Sonali Deraniyagala,2013,Wave,Wave,eng
"Margaret Weis, Tracy Hickman",1991,Fire Sea,"Fire Sea (The Death Gate Cycle, #3)",en-US
Andrew Solomon,2012,"Far from the Tree: Parents, Children, and the Search for Identity","Far from the Tree: Parents, Children, and the Search for Identity",eng
"Barbara Park, Denise Brunkus",1992,Junie B. Jones and the Stupid Smelly Bus,"Junie B. Jones and the  Stupid Smelly Bus (Junie B. Jones, #1)",en-US
"Gabriel García Márquez, Gregory Rabassa",1975,El otoño del patriarca,The Autumn of the Patriarch,eng
Conn Iggulden,2008,Bones of the Hills,"Bones of the Hills (Conqueror, #3)",eng
Oliver Sacks,1995,Hallucinations,Hallucinations,eng
Karen Marie Moning,2015,Burned,"Burned (Fever, #7)",eng
Edgar Allan Poe,1841,The Murders in the Rue Morgue,The Murders in the Rue Morgue,eng
Guy Gavriel Kay,1984,The Summer Tree,The Summer Tree (The Fionavar Tapestry #1),en-US
"Maud Hart Lovelace, Lois Lenski",1940,Betsy-Tacy,"Betsy-Tacy (Betsy-Tacy, #1)",en-US
Sara Zarr,2008,Sweethearts,Sweethearts,en-US
Lauren Groff,2008,The Monsters of Templeton,The Monsters of Templeton,eng
Charlaine Harris,2014,Midnight Crossroad,"Midnight Crossroad (Midnight, Texas, #1)",eng
Diane Mott Davidson,1990,Catering to Nobody,"Catering to Nobody (A Goldy Bear Culinary Mystery, #1)",en-US
Julie Kagawa,2012,The Lost Prince,"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)",eng
Kathy Reichs,2008,Devil Bones,"Devil Bones (Temperance Brennan, #11)",eng
James  Jones,1951,From Here to Eternity,From Here to Eternity,eng
Wayne W. Dyer,1899,Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao,Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao,eng
Michael Moore,2003,"Dude, Where's My Country?","Dude, Where's My Country?",en-US
Mario Puzo,1996,The Last Don,The Last Don,eng
"يوسف زيدان, Youssef Ziedan",2012,محال,محال,ara
Meg Cabot,2005,Ready or Not,"Ready or Not (All-American Girl, #2)",eng
Kathy Reichs,2005,Cross Bones,"Cross Bones (Temperance Brennan, #8)",
Gerda Weissmann Klein,1959,All But My Life,All But My Life: A Memoir,en-US
"Rudyard Kipling, Jerry Pinkney",1894,Rikki-Tikki-Tavi,Rikki-Tikki-Tavi,
"Grant Morrison, Frank Quitely",2009,"All-Star Superman, Vol. 2","All-Star Superman, Vol. 2",eng
"George R.R. Martin, Elio M. García Jr., Linda Antonsson",2014,The World of Ice and Fire,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,eng
Julia Quinn,2003,"To Sir Phillip, With Love","To Sir Phillip, With Love (Bridgertons, #5)",eng
"Nando Parrado, Vince Rause",2006,Miracle in the Andes: 72 Days on the Mountain and My Long Trek Home,Miracle in the Andes,
Nicole  Williams,2013,,"Lost & Found (Lost & Found, #1)",eng
Margaret Peterson Haddix,2003,Among the Barons,"Among the Barons (Shadow Children, #4)",en-US
"Kimberly Brubaker Bradley, مرضیه ورشوساز",2015,,The War that Saved My Life (The War That Saved My Life #1),eng
R.L. Stine,1992,Say Cheese and Die!,"Say Cheese and Die! (Goosebumps, #4)",eng
Bernard Cornwell,1997,Sharpe's Tiger,"Sharpe's Tiger (Sharpe, #1)",en-US
Meg Cabot,2007,Jinx,Jinx,en-US
"Thomas Mann, Joachim Neugroschel",1911,Der Tod in Venedig,Death in Venice and Other Tales,eng
Alan Bradley,2015,As Chimney Sweepers Come to Dust ,"As Chimney Sweepers Come to Dust (Flavia de Luce, #7)",eng
Zoë Heller,2003,Notes on a Scandal,What Was She Thinking? [Notes on a Scandal],eng
J.R. Ward,2016,The Beast,"The Beast (Black Dagger Brotherhood, #14)",eng
Dorothea Benton Frank,1999,Sullivan's Island,"Sullivan's Island (Lowcountry Tales, #1)",eng
"CLAMP, Anita Sengupta",1998,カードキャプターさくら 7 [Cardcaptor Sakura 7],"Cardcaptor Sakura: Master of the Clow, Vol. 1 (Cardcaptor Sakura, #7)",eng
G.P. Ching,2011,The Soulkeepers (The Soulkeepers #1),"The Soulkeepers (The Soulkeepers, #1)",en-US
Nelson DeMille,2002,Up Country,Up Country,
Michael Morpurgo,2003,Private Peaceful,Private Peaceful,eng
Rhys Bowen,2007,Her Royal Spyness (Her Royal Spyness Mysteries #1),"Her Royal Spyness (Her Royal Spyness Mysteries, #1)",en-US
Ilona Andrews,2012,Gunmetal Magic,"Gunmetal Magic (Kate Daniels, #5.5)",eng
Joe Abercrombie,2015,Half a War,"Half a War (Shattered Sea, #3)",eng
Kristen Ashley,2011,,"Rock Chick Renegade (Rock Chick, #4)",en-GB
Jennifer Probst,2012,The Marriage Mistake,"The Marriage Mistake (Marriage to a Billionaire, #3)",eng
Bruce Degen,1982,Jamberry,Jamberry,
Kelley Armstrong,2009,"Darkest Powers Trilogy (Darkest Powers, #1-3)","Darkest Powers Trilogy (Darkest Powers, #1-3)",eng
Elizabeth Haydon,1999,Rhapsody: Child of Blood,"Rhapsody: Child of Blood (Symphony of Ages, #1)",eng
Erich Segal,1988,Doctors,Doctors,eng
"Amin Maalouf, Russell Harris",1988,Samarcande,Samarkand,eng
J.D. Robb,2010,Indulgence in Death,"Indulgence in Death (In Death, #31)",eng
NoViolet Bulawayo,2013,We Need New Names,We Need New Names,eng
Marian Potter,1953,The Little Red Caboose (Little Golden Book),The Little Red Caboose (Little Golden Book),
Jen Lancaster,2009,"Pretty in Plaid: A Life, a Witch, and a Wardrobe, or, the Wonder Years Before the Condescending, Egomanical, Self-Centered Smart-Ass Phase",Pretty in Plaid,eng
Scott Cunningham,1988,Wicca: A Guide for the Solitary Practitioner,Wicca: A Guide for the Solitary Practitioner,en-US
"Arthur Miller, Christopher Bigsby",1947,All My Sons,All My Sons,eng
Cath Crowley,2010,Graffiti Moon,Graffiti Moon,eng
John Steptoe,1986,Mufaro's Beautiful Daughters: An African Tale,Mufaro's Beautiful Daughters: An African Tale,en-US
Lois McMaster Bujold,2003,Paladin of Souls,"Paladin of Souls (World of the Five Gods, #2)",eng
Robert Greene,2012,Mastery,Mastery,
Kurt Vonnegut Jr.,1999,"God Bless You, Dr. Kevorkian","God Bless You, Dr. Kevorkian",eng
Molly Wizenberg,2009,A Homemade Life: Stories and Recipes from My Kitchen Table,A Homemade Life: Stories and Recipes from My Kitchen Table,eng
David Wiesner,2001,The Three Pigs,The Three Pigs,en-US
Martin E.P. Seligman,1990,Learned Optimism: How to Change Your Mind and Your Life,Learned Optimism: How to Change Your Mind and Your Life,en-GB
Kimberly Derting,2011,Desires of the Dead,"Desires of the Dead (The Body Finder, #2)",en-US
"John Lawrence Peterson, Roberta Carter Clark",1967,The Littles,The Littles,
"Peggy Parish, Barbara Siebel Thomas",1966,Amelia Bedelia and the Surprise Shower,Amelia Bedelia and the Surprise Shower,eng
Cynthia Voigt,1981,"Homecoming (Tillerman Family, #1)","Homecoming (Tillerman Cycle, #1)",eng
Karen Marie Moning,2005,Spell of the Highlander ,"Spell of the Highlander (Highlander, #7)",eng
"Margaret Weis, Tracy Hickman",1993,The Hand of Chaos,"The Hand of Chaos (The Death Gate Cycle, #5)",en-US
Harlan Coben,1998,One False Move,One False Move (Myron Bolitar #5),eng
Roger Zelazny,1972,The Guns of Avalon,The Guns of Avalon (The Chronicles of Amber #2),eng
Katherine Paterson,1978,The Great Gilly Hopkins,The Great Gilly Hopkins,eng
Clive Cussler,2003,Trojan Odyssey,"Trojan Odyssey (Dirk Pitt, #17)",eng
James Alexander Thom,1981,Follow the River,Follow the River,en-US
"William Shakespeare, Barbara A. Mowat, Paul Werstine",1603,Measure for Measure,Measure for Measure,eng
"Owen  West, Dean Koontz",1981,The Mask,The Mask,eng
Cristin Terrill,2013,All Our Yesterdays,All Our Yesterdays,eng
Kimberly Rae Miller,2013,,Coming Clean,en-US
Kathleen Winsor,1944,Forever Amber,Forever Amber ,eng
John  Stephens,2011,The Emerald Atlas,"The Emerald Atlas (The Books of Beginning, #1)",eng
Zadie Smith,2016,Swing Time,Swing Time,eng
Doug Stanton,2001,In Harm's Way: The Sinking of the U.S.S. Indianapolis and the Extraordinary Story of Its Survivors,In Harm's Way: The Sinking of the U.S.S. Indianapolis and the Extraordinary Story of Its Survivors,
Yuna Kagesaki,2003,Karin,"Chibi Vampire, Vol. 01",eng
Nina LaCour,2014,Everything Leads to You,Everything Leads to You,eng
Wendy Mass,2006,Jeremy Fink and the Meaning of Life,Jeremy Fink and the Meaning of Life,en-US
Patricia Polacco,1998,"Thank You, Mr. Falker","Thank You, Mr. Falker",en-US
William Gibson,2014,The Peripheral,The Peripheral,eng
Alice Munro,2009,Too Much Happiness,Too Much Happiness,eng
"J. Lynn, Jennifer L. Armentrout",2012,Tempting the Best Man,"Tempting the Best Man (Gamble Brothers, #1)",eng
C.S. Pacat,2015,Prince's Gambit,"Captive Prince: Volume Two (Captive Prince, #2)",eng
Tiffany Reisz,2012,The Siren,"The Siren (The Original Sinners, #1)",
William  Kennedy,1983,Ironweed,Ironweed,eng
Jonathan Kellerman,2009,Deception,"Deception (Alex Delaware, #25)",en-US
Michael Moore,2001,Stupid white men and other sorry excuses for the state of the nation,Stupid White Men,en-GB
Sarah J. Maas,2017,A Court of Wings and Ruin,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",eng
Derek Landy,2008,The Faceless Ones,"The Faceless Ones (Skulduggery Pleasant, #3)",eng
Paul Theroux,1969,The Great Railway Bazaar: By Train Through Asia ,The Great Railway Bazaar,en-US
Brad Thor,2012,Black List,"Black List (Scot Harvath, #11)",eng
"Warren Ellis, Darick Robertson",1999,"Transmetropolitan, Vol. 2: Lust for Life","Transmetropolitan, Vol. 2: Lust for Life (Transmetropolitan, #2)",eng
Charles Stross,2004,The Atrocity Archives,"The Atrocity Archives (Laundry Files, #1)",en-US
Steve Martin,2003,The Pleasure of My Company,The Pleasure of My Company,en-US
C.J. Sansom,2004,Dark Fire,"Dark Fire (Matthew Shardlake, #2)",en-US
Christina Lauren,2013,,"Beautiful Beginning (Beautiful Bastard, #3.5)",en-US
Liz Moore,2012,Heft,Heft,
Brian Jacques,1995,Outcast of Redwall,"Outcast of Redwall (Redwall, #8)",en-US
Lloyd Jones,2006,Mister Pip,Mister Pip,eng
"Giada De Laurentiis, Victoria Pearson",2006,Giada's Family Dinners,Giada's Family Dinners,
John Patrick Shanley,2005,Doubt: A Parable,Doubt,
Cate Tiernan,2001,Book of Shadows,"Book of Shadows (Sweep, #1)",eng
Beth Harbison,2008,Secrets of a shoe addict,"Secrets of a Shoe Addict (Shoe Addict, #2)",
Anna Todd,2014,After We Fell,"After We Fell (After, #3)",eng
Laurie Fabiano,2006,Elizabeth Street,Elizabeth Street,eng
Sarah J. Maas,2012,The Assassin and the Pirate Lord,"The Assassin and the Pirate Lord (Throne of Glass, #0.1)",eng
"Søren Kierkegaard, Alastair Hannay",1843,Frygt og Bæven,Fear and Trembling,eng
Amelia Atwater-Rhodes,2003,Hawksong,"Hawksong (The Kiesha'ra, #1)",eng
Peter F. Hamilton,1999,The Naked God ,"The Naked God (Night's Dawn, #3)",
"Peggy Parish, Wallace Tripp",1971,"Come Back, Amelia Bedelia","Come Back, Amelia Bedelia",
Thor Heyerdahl,1948,Kon-Tiki Ekspedisjonen,Kon-Tiki: Across The Pacific In A Raft,en-US
Mohsin Hamid,2013,How to Get Filthy Rich in Rising Asia,How to Get Filthy Rich in Rising Asia,eng
"Albert Einstein, Nigel Calder, Robert W. Lawson",1916,Über die spezielle und die allgemeine Relativitätstheorie,Relativity: The Special and the General Theory,eng
Anna Maxted,2000,Getting Over It,Getting Over It,
Siobhan Vivian,2012,The List,The List,eng
David James Duncan,1992,The Brothers K,The Brothers K,eng
Shawn Achor,2010,The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work,The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work,
W. Bruce Cameron,2012,A Dog's Journey: Another Novel for Humans,"A Dog's Journey (A Dog's Purpose, #2)",en-US
"Timothy J. Keller, Kathy  Keller",2011,,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,eng
"Grant Morrison, Frank Quitely, Philip Tan, Jonathan Glapion, Alex Sinclair",2010,Batman & Robin: Batman Reborn,Batman & Robin: Batman Reborn,eng
Matsuri Hino,2002,めるぷり メルヘン☆プリンス 1,"MeruPuri, Vol. 1 (MeruPuri, #1)",eng
"Arturo Pérez-Reverte, Margaret Jull Costa",1990,La tabla de Flandes,The Flanders Panel,en-CA
"Janet Stevens, Hans Christian Andersen",1835,Prinsessen på ærten,The Princess and the Pea,
"F. Scott Fitzgerald, Matthew J. Bruccoli",1920,The Short Stories of F. Scott Fitzgerald,The Short Stories,eng
