Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50597,ocds-7hge34-NCCF41367,"Kings Lynn to Sheridan School, Northwold ",framework agreement,Children's Services ,,,"Kings Lynn to Sheridan School, Northwold ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,26/04/2017,31/07/2021,,31/07/2021,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN51442,ocds-7hge34-NCCF41369,"Bus 1 - South Lopham and Blo Norton to St Andrews Primary School, North Lopham ",framework agreement,Children's Services ,,,"Bus 1 - South Lopham and Blo Norton to St Andrews Primary School, North Lopham ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2020,,31/07/2023,#VALUE!,Estimated,,Diss & District Community Trans Assc Limited,,,68270,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN50595,,"Downham Market to Watton, Wayland Academy ",single award contract,Children's Services ,,,"Downham Market to Watton, Wayland Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,02/05/2017,31/07/2020,,31/07/2020,#VALUE!,Estimated,,West Norfolk Community Transport Project,,,76197,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN51438,ocds-7hge34-NCCF41249,Bus 931  Burgh Castle to Ormiston Venture Academy and  Bus 921 Cobholm to Cliff Park Ormiston Academy ,framework agreement,Community and Environmental Services,,,Bus 931  Burgh Castle to Ormiston Venture Academy and  Bus 921 Cobholm to Cliff Park Ormiston Academy ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50609,ocds-7hge34-NCCF41249,"Bus 922 Great Yarmouth, Cobholm (yr11) Southtown and Hopton to Cliff Park Ormiston Academy ",framework agreement,Children's Services ,,,"Bus 922 Great Yarmouth, Cobholm (yr11) Southtown and Hopton to Cliff Park Ormiston Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN51444,ocds-7hge34-NCCF41249,Service 837  North Walsham to Gorleston ,framework agreement,Children's Services ,,,Service 837  North Walsham to Gorleston ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50792,ocds-7hge34-NCCT41251,Bus 1 Blackborough End to  King's Lynn Academy ,single award contract,Children's Services ,,,Bus 1 Blackborough End to  King's Lynn Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,D & H Harrod (Coaches) Limited,,,67864,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50784,ocds-7hge34-NCCT41251,Bus 3 East Winch via Middleton to King's Lynn Academy ,single award contract,Children's Services ,,,Bus 3 East Winch via Middleton to King's Lynn Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Eagles Coaches,,,122317,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50785,ocds-7hge34-NCCT41251,Bus 2 West Winch to King's Lynn Academy ,single award contract,Children's Services ,,,Bus 2 West Winch to King's Lynn Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Eagles Coaches,,,122317,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50793,ocds-7hge34-NCCT41251,Bus 5 West Winch - King's Lynn Academy ,single award contract,Children's Services ,,,Bus 5 West Winch - King's Lynn Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,D & H Harrod (Coaches) Limited,,,67864,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50786,ocds-7hge34-NCCT41251,Bus 1 Gayton Thorpe - Gayton - Ashwicken - Springwood High School Academy ,single award contract,Children's Services ,,,Bus 1 Gayton Thorpe - Gayton - Ashwicken - Springwood High School Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Eagles Coaches,,,122317,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50787,ocds-7hge34-NCCT41251,Bus 2 Flitcham - Springwood High School Academy ,single award contract,Children's Services ,,,Bus 2 Flitcham - Springwood High School Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Eagles Coaches,,,122317,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50788,ocds-7hge34-NCCT41251,Bus 4 Grimston - Roydon - Pott Row - Gayton - Ashwicken - Springwood High School Academy ,single award contract,Children's Services ,,,Bus 4 Grimston - Roydon - Pott Row - Gayton - Ashwicken - Springwood High School Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Eagles Coaches,,,122317,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50801,ocds-7hge34-NCCT41251,Bus 48C East Winch - Ashwicken - Leziate - Bawsey - Springwood High School Academy ,single award contract,Children's Services ,,,Bus 48C East Winch - Ashwicken - Leziate - Bawsey - Springwood High School Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Stagecoach Services Ltd,,,157755,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50780,ocds-7hge34-NCCT41251,413   Wolferton to Springwood High School Academy ,single award contract,Children's Services ,,,413   Wolferton to Springwood High School Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Coastal Red Limited,,,1506764,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50607,ocds-7hge34-NCCF41249,"Services to East Norfolk Sixth Form College 878 from Alpington , 879 from Mundham  and 68 from Upton  ",framework agreement,Community and Environmental Services,,,"Services to East Norfolk Sixth Form College 878 from Alpington , 879 from Mundham  and 68 from Upton  ",PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Ambassador Travel (Anglia) Limited,,,66082,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50610,ocds-7hge34-NCCF41249,"Bus 1 Hemsby to Flegg High, Martham ",framework agreement,Children's Services ,,,"Bus 1 Hemsby to Flegg High, Martham ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2020,,31/07/2023,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN50608,ocds-7hge34-NCCF41249,Bus 3 - Topcroft and Hempnall to Long Stratton High School ,framework agreement,Children's Services ,,,Bus 3 - Topcroft and Hempnall to Long Stratton High School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,06/09/2017,31/07/2022,,31/07/2023,#VALUE!,Estimated,,Dolphin Autos (Nch) Ltd,,,82270,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN50650,,"Service 210: Spixworth, Frettenham, Buxton to Paston College, North Walsham.  Purchase of season tickets. ",single award contract,Children's Services ,,,"Service 210: Spixworth, Frettenham, Buxton to Paston College, North Walsham.  Purchase of season tickets. ",PASSENGER TRANSPORT.Education Post 16,PASSENGER TRANSPORT,60100000,,,01/09/2017,31/07/2020,,31/07/2022,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50781,ocds-7hge34-NCCT41251,Service 37 Southery - Downham Market - King's Lynn ,single award contract,Community and Environmental Services,,,Service 37 Southery - Downham Market - King's Lynn ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,03/09/2017,03/09/2022,,31/08/2025,#VALUE!,Estimated,,Coastal Red Limited,,,1506764,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50782,ocds-7hge34-NCCT41251,Service 48 King's Lynn -  Grimston  circular ,single award contract,Community and Environmental Services,,,Service 48 King's Lynn -  Grimston  circular ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,03/09/2017,03/09/2022,,31/08/2025,#VALUE!,Estimated,,Coastal Red Limited,,,1506764,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50783,ocds-7hge34-NCCT41251,Service 40 Thetford - Brandon - Methwold - King's Lynn ,single award contract,Community and Environmental Services,,,Service 40 Thetford - Brandon - Methwold - King's Lynn ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,03/09/2017,03/09/2022,,31/08/2025,#VALUE!,Estimated,,Coach Services Limited,,,67566,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50799,ocds-7hge34-NCCT41251,"Bus 1, Three Holes via Salters Lode to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 1, Three Holes via Salters Lode to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Imperial Bus Co Limited,,,2354404,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50802,ocds-7hge34-NCCT41251,"Bus 3, Emneth, Outwell, Upwell, Three Holes, Nordelph to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 3, Emneth, Outwell, Upwell, Three Holes, Nordelph to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Towlers Coaches Limited,,,75709,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50800,ocds-7hge34-NCCT41251,"Bus 4, Upwell and Outwell to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 4, Upwell and Outwell to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Imperial Bus Co Limited,,,2354404,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50803,ocds-7hge34-NCCT41251,"Bus 5, Emneth, Upwell, Outwell to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 5, Emneth, Upwell, Outwell to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,Towlers Coaches Limited,,,75709,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50789,ocds-7hge34-NCCT41251,"Bus 6, Nordelph, Barroway Drove, Stow Bridge to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 6, Nordelph, Barroway Drove, Stow Bridge to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,G J Bishop Minicoach Hire,,,69182,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50794,ocds-7hge34-NCCT41251,"Bus 7, Watlington, Magdalen, Stow Bridge to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 7, Watlington, Magdalen, Stow Bridge to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,D & H Harrod (Coaches) Limited,,,67864,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50795,ocds-7hge34-NCCT41251,"Bus 8, Watlington, Runcton Holme, South Runcton to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 8, Watlington, Runcton Holme, South Runcton to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,D & H Harrod (Coaches) Limited,,,67864,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50796,ocds-7hge34-NCCT41251,"Bus 10, Watlington To Downham Market Academy ",single award contract,Children's Services ,,,"Bus 10, Watlington To Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,D & H Harrod (Coaches) Limited,,,67864,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50797,ocds-7hge34-NCCT41251,"Bus 12, Wormegay, Tottenhill, Shouldham, Fincham to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 12, Wormegay, Tottenhill, Shouldham, Fincham to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,D & H Harrod (Coaches) Limited,,,67864,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50798,ocds-7hge34-NCCT41251,"Bus 17, Southery to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 17, Southery to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,D & H Harrod (Coaches) Limited,,,67864,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50790,ocds-7hge34-NCCT41251,"Bus 18, Hilgay, Fordham to Downham Market Academy ",single award contract,Children's Services ,,,"Bus 18, Hilgay, Fordham to Downham Market Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,G J Bishop Minicoach Hire,,,69182,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50791,ocds-7hge34-NCCT41251,"Bus 1, Nordelph, Barroway Drove, Salters Lode to Nelson Academy ",single award contract,Children's Services ,,,"Bus 1, Nordelph, Barroway Drove, Salters Lode to Nelson Academy ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,G J Bishop Minicoach Hire,,,69182,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50804,ocds-7hge34-NCCT41251,"Bus 1, Wereham, Crimplesham to Hillcrest Primary ",single award contract,Children's Services ,,,"Bus 1, Wereham, Crimplesham to Hillcrest Primary ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,W D Hircock & C E Parsons,,,76008,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON50805,ocds-7hge34-NCCT41251,"Bus 1, Stradsett, Fincham to Shouldham Primary School ",single award contract,Children's Services ,,,"Bus 1, Stradsett, Fincham to Shouldham Primary School ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2017,31/07/2022,,31/07/2025,#VALUE!,Estimated,,W D Hircock & C E Parsons,,,76008,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
